,Topic Number,KTG
24,24,"clean, room, get, hous, time, go, door, floor, chang, one, water, tabl, like, thing, put, take, bathroom, dish, smell, kid, throw, would, trash, open, sink, make, use, mess, kitchen, vacuum, need, away, outsid, day, bucket, toy, work, wife, laundri, place"
25,25,"show, love, bubbl, dinosaur, gabba, bear, like, watch, one, thoma, anim, train, tree, draw, dora, yo, son, photoshop, littl, spider, great, dragon, moon, youtub, talent, art, theme, mr, favorit, old, toy, amp, georg, engin, eleph, magic, make, doo, handsom, v"
26,26,"santa, christma, gift, present, holiday, easter, bunni, xma, goat, tradit, muffin, magic, celebr, tree, clau, eve, mall, nichola, xylophon, elf, ron, handmad, bouquet, christmas, ungodli, jesu, fairi, nana, grinch, downsiz, year, fun, helium, fortress, grinder, lap, rudolph, kid, grandpar, real"
27,27,"fam, messag, rec, sweater, bloop, message, crane, kevin, gobbl, luckfeel, plunger, ftfi, swingset, hotter, mi, loveknow, inexperienc, glee, richmond, mailbox, wallac, subject, nl, gruffalo, usethank, usedaughter, to, gang, fog, ultrason, realm, poetri, pm, lucklike, send, autom, smoother, canadian, administ, get"
28,28,"poop, diaper, potti, pee, bath, time, get, toilet, chang, old, like, train, son, go, one, kid, daughter, shit, start, poo, hand, use, wipe, tri, sit, bathroom, tub, pull, littl, day, clean, laugh, shower, back, would, face, say, look, put, month"
29,29,"da, mama, cheek, papa, knock, dada, chubbi, congratulcongratul, dat, dadgood, congratule, workthink, mummi, mutt, baba, likemonth, apocalyps, adorone, namerealli, awesomthank, say, greatknow, lolgreat, word, workdaughter, arounddaughter, excitedli, first, joke, oldwell, daddi, reson, call, told, babi, said, month, like, get, de"
30,30,"imgur, jpg, blogspot, bp, img, imag, wp, z, c, j, vampir, helluva, f, ri, gif, oi, k, upload, x, n, q, l, knowyourmem, p, uh, oop, e, ucm, bonu, u, photobomb, bugger, cl, matt, sharelove, omg, h, look, son, like"
31,31,"chang, tabl, bathroom, restroom, station, helmet, place, restaur, stall, men, pad, coast, beach, room, sand, spot, facil, flat, area, san, ladi, handicap, snow, diego, manag, head, mall, ziplock, francisco, portland, trunk, public, custom, canyon, use, instructor, seen, busi, surfac, instal"
32,32,"flight, plane, fli, travel, trip, land, airport, bring, ear, flew, airlin, sunglass, pressur, board, flame, snack, sandal, sunscreen, tsa, air, seat, lap, takeoff, squirrel, hour, vid, gate, vancouv, destin, aisl, pop, attend, flown, toy, funki, robe, toenail, nascar, check, disneyland"
33,33,"game, play, video, watch, tv, use, time, kid, get, app, phone, like, old, also, screen, comput, youtub, one, control, want, realli, let, year, set, learn, ipad, good, thing, someth, love, show, tablet, lego, work, tri, xbox, go, much, son, lot"
